Name of the company,Average employee rating (out of 5) based on reviews,Total number of employee reviews,Critical Rated for,Number of salary entries submitted by employees,Count of interview experiences shared,Active job listings on AmbitionBox,"Number of benefit reviews (insurance, WFH, leaves, etc.)",Number of company photos uploaded by employees
TCS,3.3,1.1L,Job Security,9.7L,11.7k,3k,10.6k,87
Accenture,3.7,70.9k,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",6.4L,9.1k,36.6k,6.7k,48
Wipro,3.6,62.9k,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",4.7L,6.5k,5.7k,4.6k,99
Cognizant,3.6,59.8k,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",5.9L,6.3k,680,5.5k,82
Capgemini,3.7,51.4k,"Work Life Balance, Job Security",4.7L,5.4k,1.9k,3.6k,41
HDFC Bank,3.8,50.3k,"Job Security, Skill Development / Learning",1.5L,2.8k,215,3.2k,72
Infosys,3.5,47k,Job Security,5.2L,8.3k,2.3k,4.8k,117
ICICI Bank,4.0,45.1k,"Job Security, Promotions / Appraisal, Skill Development / Learning",1.5L,2.8k,23,3.7k,70
HCLTech,3.4,44.3k,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",3.7L,4.4k,201,3.8k,63
Tech Mahindra,3.4,42.2k,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",2.8L,4.4k,388,3.4k,79
Genpact,3.6,40.6k,Job Security,2.3L,3.7k,475,3.5k,63
Teleperformance,3.8,36.4k,Promotions / Appraisal,95.5k,2.1k,1.1k,1.8k,38
Axis Bank,3.6,32.2k,"Promotions / Appraisal, Work Satisfaction, Company Culture",1L,1.8k,188,2.1k,120
Jio,4.3,31.7k,"Job Security, Work Life Balance, Skill Development / Learning",62.4k,3.5k,3,2.5k,81
Concentrix Corporation,3.6,31.4k,Job Security,1.3L,1.9k,61,3.1k,66
Amazon,3.9,30.6k,"Company Culture, Work Life Balance, Salary & Benefits",1.5L,5.7k,1.5k,4.1k,88
iEnergizer,4.6,27.4k,"Company Culture, Work Life Balance, Work Satisfaction",23.9k,1k,54,430,28
Reliance Retail,3.9,26.9k,"Job Security, Skill Development / Learning, Work Life Balance",74.4k,1.9k,85,1.9k,129
LTIMindtree,3.6,25.6k,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",1.9L,3.3k,408,776,34
IBM,3.9,25.3k,"Work Life Balance, Company Culture, Job Security",2.1L,2.6k,2.7k,2.6k,23
HDB Financial Services,3.9,25k,"Job Security, Skill Development / Learning",50k,1k,158,1.5k,68
Larsen & Toubro Limited,3.9,23.1k,"Job Security, Skill Development / Learning",73.8k,1.8k,171,2.8k,64
Deloitte,3.7,22.2k,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",2.4L,3.2k,1.3k,2.4k,25
Kotak Mahindra Bank,3.6,21.8k,"Promotions / Appraisal, Work Satisfaction, Company Culture",86.3k,1.3k,64,1.3k,39
Reliance Industries,4.0,19.7k,"Job Security, Work Life Balance, Skill Development / Learning",72.6k,1.5k,58,1.8k,38
Vodafone Idea,3.9,17.5k,"Salary & Benefits, Company Culture, Work Life Balance",50.4k,654,52,2k,21
Bharti Airtel,3.8,16.8k,Promotions / Appraisal,48.7k,1.1k,122,1.6k,96
BYJU'S,3.2,16.6k,"Job Security, Work Life Balance, Company Culture",54.1k,2.1k,--,1.7k,28
WNS,3.3,14.7k,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",69.8k,1.2k,80,1.3k,24
Tata Motors,4.1,13.9k,"Job Security, Company Culture, Work Life Balance",43.1k,1.2k,163,1.6k,43
IDFC FIRST Bank,3.9,13.8k,"Salary & Benefits, Skill Development / Learning",48.8k,880,46,695,86
Ernst & Young,3.4,13.8k,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",1.4L,1.3k,4.7k,1.2k,6
IndusInd Bank,3.4,13.8k,"Promotions / Appraisal, Company Culture, Work Satisfaction",51.6k,740,144,793,15
AU Small Finance Bank,3.9,13.7k,"Work Life Balance, Job Security, Skill Development / Learning",28.7k,650,17,577,26
Flipkart,3.9,12.6k,"Company Culture, Skill Development / Learning",53.8k,1.6k,162,1.4k,102
Bajaj Finserv,3.9,12.5k,"Salary & Benefits, Skill Development / Learning, Job Security",30.6k,693,5,719,15
Muthoot FinCorp,4.5,12k,"Company Culture, Work Life Balance, Job Security",8.8k,1.9k,45,275,70
PwC,3.3,11.9k,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",1.2L,1.5k,1.1k,800,24
